issue_number,fix_commit_sha,changed_file,parent_commit_sha,note
48627.0,43ab0c1f957425d74905d121f390d175a7da9d26,public/app/features/alerting/unified/api/buildInfo.ts,0616388036e12120a7e2e73d98eee671ca8d4f6e,SZZ-lite file-level parent mapping only
48627.0,43ab0c1f957425d74905d121f390d175a7da9d26,public/app/features/alerting/unified/state/actions.ts,0616388036e12120a7e2e73d98eee671ca8d4f6e,SZZ-lite file-level parent mapping only
48627.0,43ab0c1f957425d74905d121f390d175a7da9d26,public/app/plugins/datasource/prometheus/datasource.tsx,0616388036e12120a7e2e73d98eee671ca8d4f6e,SZZ-lite file-level parent mapping only
48627.0,43ab0c1f957425d74905d121f390d175a7da9d26,public/app/types/unified-alerting-dto.ts,0616388036e12120a7e2e73d98eee671ca8d4f6e,SZZ-lite file-level parent mapping only
49112.0,81e368dbb5b3b87c2051ad990f9cdaffa56af301,pkg/tests/api/alerting/api_prometheus_test.go,eecee16b6624dda5ea2172ec84c752764a9f443e,SZZ-lite file-level parent mapping only
49181.0,66220758b30ebbb9f0b9594defd7bba0273c7eaf,public/app/plugins/datasource/cloudwatch/migrations/variableQueryMigrations.test.ts,e273c9a958ee3d7b01e4a95bf619f85fdaf34f76,SZZ-lite file-level parent mapping only
49181.0,66220758b30ebbb9f0b9594defd7bba0273c7eaf,public/app/plugins/datasource/cloudwatch/migrations/variableQueryMigrations.ts,e273c9a958ee3d7b01e4a95bf619f85fdaf34f76,SZZ-lite file-level parent mapping only
47979.0,2780651ea864457c0d71c1db62a9dc02df4c4569,pkg/tsdb/azuremonitor/metrics/azuremonitor-datasource.go,bd320ee0b36b674e2cd75c18899d46df66d99479,SZZ-lite file-level parent mapping only
47979.0,2780651ea864457c0d71c1db62a9dc02df4c4569,public/app/plugins/datasource/grafana-azure-monitor-datasource/components/MetricsQueryEditor/dataHooks.test.ts,bd320ee0b36b674e2cd75c18899d46df66d99479,SZZ-lite file-level parent mapping only
47979.0,2780651ea864457c0d71c1db62a9dc02df4c4569,public/app/plugins/datasource/grafana-azure-monitor-datasource/components/MetricsQueryEditor/dataHooks.ts,bd320ee0b36b674e2cd75c18899d46df66d99479,SZZ-lite file-level parent mapping only
47979.0,2780651ea864457c0d71c1db62a9dc02df4c4569,public/app/plugins/datasource/grafana-azure-monitor-datasource/components/NewMetricsQueryEditor/dataHooks.test.ts,bd320ee0b36b674e2cd75c18899d46df66d99479,SZZ-lite file-level parent mapping only
47979.0,2780651ea864457c0d71c1db62a9dc02df4c4569,public/app/plugins/datasource/grafana-azure-monitor-datasource/components/NewMetricsQueryEditor/dataHooks.ts,bd320ee0b36b674e2cd75c18899d46df66d99479,SZZ-lite file-level parent mapping only
47979.0,2780651ea864457c0d71c1db62a9dc02df4c4569,public/app/plugins/datasource/grafana-azure-monitor-datasource/types/query.ts,bd320ee0b36b674e2cd75c18899d46df66d99479,SZZ-lite file-level parent mapping only
48794.0,34fa7b493cd1a38145f3ca2f0514ac4a10bea497,public/app/plugins/datasource/grafana-azure-monitor-datasource/azure_monitor/azure_monitor_datasource.test.ts,061055fac9228e701fa2b8b529211ea458c9e899,SZZ-lite file-level parent mapping only
48794.0,34fa7b493cd1a38145f3ca2f0514ac4a10bea497,public/app/plugins/datasource/grafana-azure-monitor-datasource/azure_monitor/azure_monitor_datasource.ts,061055fac9228e701fa2b8b529211ea458c9e899,SZZ-lite file-level parent mapping only
48794.0,34fa7b493cd1a38145f3ca2f0514ac4a10bea497,public/app/plugins/datasource/grafana-azure-monitor-datasource/components/MetricsQueryEditor/MetricNamespaceField.tsx,061055fac9228e701fa2b8b529211ea458c9e899,SZZ-lite file-level parent mapping only
48794.0,34fa7b493cd1a38145f3ca2f0514ac4a10bea497,public/app/plugins/datasource/grafana-azure-monitor-datasource/components/MetricsQueryEditor/setQueryValue.ts,061055fac9228e701fa2b8b529211ea458c9e899,SZZ-lite file-level parent mapping only
48794.0,34fa7b493cd1a38145f3ca2f0514ac4a10bea497,public/app/plugins/datasource/grafana-azure-monitor-datasource/components/NewMetricsQueryEditor/dataHooks.ts,061055fac9228e701fa2b8b529211ea458c9e899,SZZ-lite file-level parent mapping only
46032.0,2949ebc2647fc20aa596749987adde4587957212,.betterer.results,426ca2999eeb93294c23d0e333bc0a75630d5e6d,SZZ-lite file-level parent mapping only
46032.0,2949ebc2647fc20aa596749987adde4587957212,packages/jaeger-ui-components/src/TraceTimelineViewer/SpanDetail/KeyValuesTable.tsx,426ca2999eeb93294c23d0e333bc0a75630d5e6d,SZZ-lite file-level parent mapping only
46032.0,2949ebc2647fc20aa596749987adde4587957212,packages/jaeger-ui-components/src/common/CopyIcon.test.js,426ca2999eeb93294c23d0e333bc0a75630d5e6d,SZZ-lite file-level parent mapping only
46032.0,2949ebc2647fc20aa596749987adde4587957212,packages/jaeger-ui-components/src/common/CopyIcon.tsx,426ca2999eeb93294c23d0e333bc0a75630d5e6d,SZZ-lite file-level parent mapping only
46032.0,2949ebc2647fc20aa596749987adde4587957212,packages/jaeger-ui-components/src/common/__snapshots__/CopyIcon.test.js.snap,426ca2999eeb93294c23d0e333bc0a75630d5e6d,SZZ-lite file-level parent mapping only
46134.0,0a509b97ef9299d307e40491d04a16ff3cf589a4,pkg/tsdb/prometheus/buffered/time_series_query.go,84a8a1aaa6e7b72a5078edcd25d7ac98d759e848,SZZ-lite file-level parent mapping only
46134.0,0a509b97ef9299d307e40491d04a16ff3cf589a4,pkg/tsdb/prometheus/buffered/time_series_query_test.go,84a8a1aaa6e7b72a5078edcd25d7ac98d759e848,SZZ-lite file-level parent mapping only
46562.0,762a84153db9b42bb7d987d50b58da752f765300,packages/grafana-ui/src/components/Table/Table.tsx,a9cc3225ba44c57b1cb93de5afe951c0a167cbd7,SZZ-lite file-level parent mapping only
49426.0,b0300d56acfc614e73a4d7ee0b96985722202cd0,public/app/plugins/datasource/grafana-azure-monitor-datasource/utils/common.test.ts,71ffa5e5db4fe7d73281ee2b8c1e208d104dbdfb,SZZ-lite file-level parent mapping only
49426.0,b0300d56acfc614e73a4d7ee0b96985722202cd0,public/app/plugins/datasource/grafana-azure-monitor-datasource/utils/common.ts,71ffa5e5db4fe7d73281ee2b8c1e208d104dbdfb,SZZ-lite file-level parent mapping only
