tag_name,release_name,published_at,target_commitish,html_url,draft,prerelease
v11.1.1,11.1.1 (2024-07-10),2024-07-26 00:49:27+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.1,False,False
v11.1.2,11.1.2 (2024-07-24),2024-07-26 02:33:42+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.2,False,False
v10.4.6,10.4.6 (2024-07-23),2024-07-26 02:34:54+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.6,False,False
v11.1.3,11.1.3 (2024-07-26),2024-07-26 15:49:20+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.3,False,False
v10.4.7,10.4.7,2024-08-14 17:48:14+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.7,False,False
v11.0.3,11.0.3,2024-08-14 18:47:39+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.3,False,False
v11.1.4,11.1.4,2024-08-14 20:12:38+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.4,False,False
v10.3.9,10.3.9,2024-08-27 11:49:23+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.3.9,False,False
v10.4.8,10.4.8,2024-08-27 12:23:02+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.8,False,False
v11.0.4,11.0.4,2024-08-27 13:22:25+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.4,False,False
v11.1.5,11.1.5,2024-08-27 13:58:31+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.5,False,False
v11.2.0,11.2.0,2024-08-27 17:18:36+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.2.0,False,False
v10.3.10,10.3.10,2024-09-26 12:54:54+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.3.10,False,False
v10.4.9,10.4.9,2024-09-26 13:06:31+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.9,False,False
v11.0.5,11.0.5,2024-09-26 13:39:38+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.5,False,False
v11.1.6,11.1.6,2024-09-26 14:32:00+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.6,False,False
v11.2.1,11.2.1,2024-09-26 15:06:55+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.2.1,False,False
v10.3.11,10.3.11,2024-10-01 15:58:39+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.3.11,False,False
v10.4.10,10.4.10,2024-10-01 16:30:10+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.10,False,False
v11.0.6,11.0.6,2024-10-01 18:09:01+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.6,False,False
v11.1.7,11.1.7,2024-10-01 19:37:23+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.7,False,False
v11.2.2,11.2.2,2024-10-09 18:39:00+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.2.2,False,False
v11.0.5+security-01,11.0.5+security-01,2024-10-17 16:45:07+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.5%2Bsecurity-01,False,False
v11.0.6+security-01,11.0.6+security-01,2024-10-17 17:17:14+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.6%2Bsecurity-01,False,False
v11.2.1+security-01,11.2.1+security-01,2024-10-17 18:08:21+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.2.1%2Bsecurity-01,False,False
v11.2.2+security-01,11.2.2+security-01,2024-10-17 18:16:44+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.2.2%2Bsecurity-01,False,False
v11.1.6+security-01,11.1.6+security-01,2024-10-17 18:20:00+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.6%2Bsecurity-01,False,False
v11.1.7+security-01,11.1.7+security-01,2024-10-17 18:53:57+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.7%2Bsecurity-01,False,False
v10.3.12,10.3.12,2024-10-22 10:20:44+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.3.12,False,False
v10.4.11,10.4.11,2024-10-22 11:52:21+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.11,False,False
v11.0.7,11.0.7,2024-10-22 13:06:19+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.7,False,False
v11.1.8,11.1.8,2024-10-22 14:51:11+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.8,False,False
v11.2.3,11.2.3,2024-10-22 16:28:05+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.2.3,False,False
v11.3.0,11.3.0,2024-10-22 20:10:05+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.3.0,False,False
v10.4.12,10.4.12,2024-11-08 15:45:26+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.12,False,False
v11.2.3+security-01,11.2.3+security-01,2024-11-12 16:01:23+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.2.3%2Bsecurity-01,False,False
v11.3.0+security-01,11.3.0+security-01,2024-11-12 16:02:08+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.3.0%2Bsecurity-01,False,False
v10.4.13,10.4.13,2024-11-19 15:31:30+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.13,False,False
v11.0.8,11.0.8,2024-11-19 16:18:49+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.8,False,False
v11.1.9,11.1.9,2024-11-19 16:50:16+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.9,False,False
