repository_slug,repository_name,repository_full_name,period,metric_name,metric_value,metric_note
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-02,recovery_time_days_median,24.89292824074074,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-03,recovery_time_days_median,6.060810185185185,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-04,recovery_time_days_median,200.4718287037037,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-05,recovery_time_days_median,216.78555555555556,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-07,recovery_time_days_median,251.95974537037037,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-09,recovery_time_days_median,243.86577546296297,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-10,recovery_time_days_median,405.7081712962963,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-11,recovery_time_days_median,430.65115740740737,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-12,recovery_time_days_median,310.56364583333334,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-02,adapted_bugfix_deployment_rate,0.0,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-06,adapted_bugfix_deployment_rate,1.0,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-09,adapted_bugfix_deployment_rate,1.0,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-10,adapted_bugfix_deployment_rate,1.0,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
